0,3,17.7
0,1,17.7
0,1,17.7
0,1,17.7
4,1,17.7
1,1,17.7
-2,1,17.7
2,1,17.7
0,1,17.7
-1,1,17.7
-1,1,17.7
2,1,17.7
-2,1,17.7
2,0,17.7
-1,1,17.7
-1,1,17.7
2,1,17.7
3,1,17.7
0,1,17.7
1,1,17.7
1,1,17.7
0,1,17.7
0,1,17.7
0,2,17.7
-1,0,17.7
-1,2,17.7
2,0,17.7
-1,1,17.7
0,7,17.7
3,4,17.7
2,3,17.7
0,3,17.7
1,1,17.7
0,2,17.7
-2,1,17.7
1,4,17.7
0,3,17.7
-2,4,17.7
2,0,17.7
-1,2,17.7
0,0,17.7
2,3,17.7
2,3,17.7
0,2,17.7
1,1,17.7
0,1,17.7
-2,2,17.7
0,0,17.7
-1,0,17.7
-2,1,17.7
0,0,17.7
-1,1,17.7
1,-1,17.7
3,-1,17.7
1,2,17.7
1,2,17.7
1,-1,17.7
0,-1,17.7
-1,1,17.7
-3,3,17.7
-2,-1,17.7
-1,-1,17.7
0,0,17.7
0,0,17.7
1,1,17.7
2,0,17.7
1,1,17.7
0,1,17.7
2,0,17.7
-1,1,17.7
0,0,17.7
-4,1,17.7
-2,0,17.7
-2,1,17.7
1,-1,17.7
0,0,17.7
-1,1,17.7
2,2,17.7
1,1,17.7
0,2,17.7
1,0,17.7
0,1,17.7
-1,1,17.7
-2,1,17.7
-1,0,17.7
-1,1,17.7
1,-1,17.7
-1,1,17.7
1,3,17.7
2,0,17.7
1,0,17.7
0,0,17.7
2,-1,17.7
-2,2,17.7
1,0,17.7
-1,0,17.7
0,1,17.7
-1,1,17.7
0,0,17.7
-1,1,17.7
1,2,17.7
2,0,17.7
2,0,17.7
-1,2,17.7
2,-1,17.7
-1,1,17.7
1,0,17.7
-1,3,17.7
-2,2,17.7
0,1,17.7
0,0,17.7
-1,1,17.7
2,2,17.7
3,0,17.7
1,2,17.7
1,0,17.7
1,0,17.7
-1,1,17.7
-1,1,17.7
0,0,17.7
-1,1,17.7
0,0,17.7
0,0,17.7
0,0,17.7
2,2,17.7
2,0,17.7
1,1,17.7
1,1,17.7
1,0,17.7
0,0,17.7
-2,1,17.7
0,0,17.7
0,-2,17.7
-2,1,17.7
1,-1,17.7
-1,1,17.7
-1,0,17.7
4,1,17.7
1,0,17.7
0,-2,17.7
2,-1,17.7
-1,1,17.7
1,0,17.7
-2,0,17.7
0,0,17.7
-1,0,17.7
0,0,17.7
0,-2,17.7
-1,1,17.7
2,-1,17.7
2,-1,17.7
-1,1,17.7
1,-1,17.7
1,0,17.7
0,0,17.7
-1,0,17.7
-1,1,17.7
-2,-2,17.7
2,-1,17.7
0,0,17.7
-2,1,17.7
-1,1,17.7
0,0,17.7
-1,1,17.7
0,0,17.7
0,0,17.7
-2,0,17.7
0,0,17.7
